param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,4.2959798200441766,5.3414694457157985,5.456860213612787,0.0001934060636616956,josef-fruehwald_speaker,0-0-125-1,group_0,ey,6338.461538461539,1,4,rainbow,1,0.0799999999999983,the,in,R,N,R,N,internal
1,0.032598475439557684,-0.001882471673718672,-0.00039946016336289816,0.0001934060636616956,josef-fruehwald_speaker,0-0-125-1,group_0,ey,6338.461538461539,1,4,rainbow,1,0.0799999999999983,the,in,R,N,R,N,internal
2,-0.014834754934607378,-0.004605715495664011,-0.0015556499157356532,0.0001934060636616956,josef-fruehwald_speaker,0-0-125-1,group_0,ey,6338.461538461539,1,4,rainbow,1,0.0799999999999983,the,in,R,N,R,N,internal
3,-0.009461721715638666,0.002912683754179273,-0.002020213366857498,0.0001934060636616956,josef-fruehwald_speaker,0-0-125-1,group_0,ey,6338.461538461539,1,4,rainbow,1,0.0799999999999983,the,in,R,N,R,N,internal
4,-0.02538693939792354,-0.004388618371166779,-0.003949520644286404,0.0001934060636616956,josef-fruehwald_speaker,0-0-125-1,group_0,ey,6338.461538461539,1,4,rainbow,1,0.0799999999999983,the,in,R,N,R,N,internal
0,4.13296571885865,5.357511173828673,5.493279102266286,0.004179042527581685,josef-fruehwald_speaker,0-0-128-1,group_0,ey,5292.307692307692,1,4,ways,1,0.23999999999999488,various,"",W,Z,W,Z,internal
1,0.10363067804106559,-0.05091778825999868,-0.014312108051178978,0.004179042527581685,josef-fruehwald_speaker,0-0-128-1,group_0,ey,5292.307692307692,1,4,ways,1,0.23999999999999488,various,"",W,Z,W,Z,internal
2,0.03937809695436364,-0.04708005513433553,-0.009669264098656727,0.004179042527581685,josef-fruehwald_speaker,0-0-128-1,group_0,ey,5292.307692307692,1,4,ways,1,0.23999999999999488,various,"",W,Z,W,Z,internal
3,-0.004849748678607747,-0.01188348970028158,0.005002839496984195,0.004179042527581685,josef-fruehwald_speaker,0-0-128-1,group_0,ey,5292.307692307692,1,4,ways,1,0.23999999999999488,various,"",W,Z,W,Z,internal
4,0.01078216709228593,-0.01100205382646079,0.004937606967775657,0.004179042527581685,josef-fruehwald_speaker,0-0-128-1,group_0,ey,5292.307692307692,1,4,ways,1,0.23999999999999488,various,"",W,Z,W,Z,internal
0,4.17242647427126,5.357824809047923,5.495327628255672,0.0033779738815755507,josef-fruehwald_speaker,0-0-141-7,group_0,ey,4943.589743589744,1,4,explanation,1,0.11999999999999744,physical,"",N,SH,N,SH,internal
1,0.0654573356395431,-0.0402545436013579,-0.004395274501724079,0.0033779738815755507,josef-fruehwald_speaker,0-0-141-7,group_0,ey,4943.589743589744,1,4,explanation,1,0.11999999999999744,physical,"",N,SH,N,SH,internal
2,0.003866755843321746,-0.015438954260980589,0.004179905349983424,0.0033779738815755507,josef-fruehwald_speaker,0-0-141-7,group_0,ey,4943.589743589744,1,4,explanation,1,0.11999999999999744,physical,"",N,SH,N,SH,internal
3,-0.013053702656051512,-0.006683937606475949,0.0015713049733109424,0.0033779738815755507,josef-fruehwald_speaker,0-0-141-7,group_0,ey,4943.589743589744,1,4,explanation,1,0.11999999999999744,physical,"",N,SH,N,SH,internal
4,-0.007316061231473804,-0.0021618239499279603,-0.002490494054699875,0.0033779738815755507,josef-fruehwald_speaker,0-0-141-7,group_0,ey,4943.589743589744,1,4,explanation,1,0.11999999999999744,physical,"",N,SH,N,SH,internal
0,4.333803938027188,5.318863359062583,5.424969565464559,0.0011261482573877927,josef-fruehwald_speaker,0-0-163-1,group_0,ey,5117.948717948718,1,4,rain,1,0.10999999999999943,heavy,"",R,N,R,N,internal
