param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,252.48364750614013,1453.7018275075493,1871.7735777308662,4.3968391277776425e-6,josef-fruehwald_speaker,0-0-34-1,group_0,ey,5641.025641025641,1,4,take,1,0.05000000000000071,these,the,T,K,T,K,internal
1,5.1578236647083235,-20.95354654698883,19.046520013240738,4.3968391277776425e-6,josef-fruehwald_speaker,0-0-34-1,group_0,ey,5641.025641025641,1,4,take,1,0.05000000000000071,these,the,T,K,T,K,internal
2,0.4751323395026607,-3.5975531622690173,-10.798637985753373,4.3968391277776425e-6,josef-fruehwald_speaker,0-0-34-1,group_0,ey,5641.025641025641,1,4,take,1,0.05000000000000071,these,the,T,K,T,K,internal
3,1.287215889365261,0.2358055002341706,1.4679470361629237,4.3968391277776425e-6,josef-fruehwald_speaker,0-0-34-1,group_0,ey,5641.025641025641,1,4,take,1,0.05000000000000071,these,the,T,K,T,K,internal
4,0.08753362092788203,2.785830866858891,-0.41445612687211053,4.3968391277776425e-6,josef-fruehwald_speaker,0-0-34-1,group_0,ey,5641.025641025641,1,4,take,1,0.05000000000000071,these,the,T,K,T,K,internal
0,241.71649151079177,1363.4572741042775,1670.5457697748482,0.00018808167338430612,josef-fruehwald_speaker,0-0-36-1,group_0,ey,5466.666666666667,1,4,shape,1,0.11999999999999922,the,"",SH,P,SH,P,internal
1,11.98242201301256,-13.997495018084773,-11.574690025507444,0.00018808167338430612,josef-fruehwald_speaker,0-0-36-1,group_0,ey,5466.666666666667,1,4,shape,1,0.11999999999999922,the,"",SH,P,SH,P,internal
2,1.0664300291534672,-28.962430203534538,-10.901110011064638,0.00018808167338430612,josef-fruehwald_speaker,0-0-36-1,group_0,ey,5466.666666666667,1,4,shape,1,0.11999999999999922,the,"",SH,P,SH,P,internal
3,1.0551839395261648,11.408769355004797,8.548625906400808,0.00018808167338430612,josef-fruehwald_speaker,0-0-36-1,group_0,ey,5466.666666666667,1,4,shape,1,0.11999999999999922,the,"",SH,P,SH,P,internal
4,1.1151779759657696,-13.040014598192172,-1.6124221341300402,0.00018808167338430612,josef-fruehwald_speaker,0-0-36-1,group_0,ey,5466.666666666667,1,4,shape,1,0.11999999999999922,the,"",SH,P,SH,P,internal
0,225.2674896468712,1287.699869738992,1458.5028289181755,0.000552890684798296,josef-fruehwald_speaker,0-0-115-1,group_0,ey,5815.384615384615,1,4,rainbow,1,0.0800000000000054,the,"",R,N,R,N,internal
1,15.949425519858988,-22.93308221728019,-59.431546853715474,0.000552890684798296,josef-fruehwald_speaker,0-0-115-1,group_0,ey,5815.384615384615,1,4,rainbow,1,0.0800000000000054,the,"",R,N,R,N,internal
